Iter number - point - function value
0 - [1. 1. 1. 1. 1.] - 53100.0
1 - ['0.73', '1.00', '1.00', '1.02', '1.04'] - 9076.9754
2 - ['0.66', '1.00', '1.01', '1.02', '1.05'] - 4817.8994
3 - ['0.61', '1.00', '1.01', '1.02', '1.06'] - 3074.2378
4 - ['0.58', '1.00', '1.01', '1.02', '1.06'] - 2158.9594
5 - ['0.55', '1.00', '1.01', '1.03', '1.06'] - 1610.5142
6 - ['0.54', '1.00', '1.01', '1.03', '1.07'] - 1252.8792
7 - ['0.52', '1.00', '1.01', '1.03', '1.07'] - 1005.3998
8 - ['0.51', '1.00', '1.01', '1.03', '1.07'] - 826.3953
9 - ['0.49', '1.00', '1.01', '1.03', '1.07'] - 692.3882
10 - ['0.48', '1.00', '1.01', '1.03', '1.08'] - 589.2638
11 - ['0.47', '1.00', '1.01', '1.03', '1.08'] - 508.0897
12 - ['0.47', '1.00', '1.01', '1.03', '1.08'] - 442.9739
13 - ['0.46', '1.00', '1.01', '1.03', '1.08'] - 389.8937
14 - ['0.45', '1.00', '1.01', '1.03', '1.08'] - 346.0224
15 - ['0.45', '1.00', '1.01', '1.03', '1.08'] - 309.3237
16 - ['0.44', '1.00', '1.01', '1.03', '1.08'] - 278.2990
17 - ['0.43', '1.00', '1.01', '1.03', '1.08'] - 251.8248
18 - ['0.43', '1.00', '1.01', '1.03', '1.08'] - 229.0444
19 - ['0.43', '1.00', '1.01', '1.03', '1.08'] - 209.2952
20 - ['0.42', '1.00', '1.01', '1.03', '1.08'] - 192.0578
21 - ['0.42', '1.00', '1.01', '1.03', '1.09'] - 176.9202
22 - ['0.41', '1.00', '1.01', '1.03', '1.09'] - 163.5523
23 - ['0.41', '1.00', '1.01', '1.03', '1.09'] - 151.6865
24 - ['0.41', '1.00', '1.01', '1.03', '1.09'] - 141.1046
25 - ['0.40', '1.00', '1.01', '1.03', '1.09'] - 131.6267
26 - ['0.40', '1.00', '1.01', '1.03', '1.09'] - 123.1034
27 - ['0.40', '1.00', '1.01', '1.03', '1.09'] - 115.4102
28 - ['0.40', '1.00', '1.01', '1.03', '1.09'] - 108.4422
29 - ['0.39', '1.00', '1.01', '1.03', '1.09'] - 102.1106
30 - ['0.39', '1.00', '1.01', '1.03', '1.09'] - 96.3399
31 - ['0.39', '1.00', '1.01', '1.03', '1.09'] - 91.0656
